,Store Number,Store Name,Address,City,Longitude,Latitude
787,18008-159606,Industrial & Hwy 92,25945 Industrial Blvd Hayward CA,Hayward,-122.11,37.63
788,3847-138569,CSU East Bay (Hayward),25800 Carlos Bee Blvd Hayward CA,Hayward,-122.06,37.66
789,5483-1561,Jackson & Amador,245 West Jackson Hayward CA,Hayward,-122.09,37.65
790,10887-99700,Hesperian & A,20523 Hesperian Blvd Hayward CA,Hayward,-122.12,37.67
791,10105-99828,Foothill & City Center,22288 Foothill Blvd. Hayward CA,Hayward,-122.08,37.68
792,79509-102349,Safeway - Hayward #971,22280 Foothill Blvd. Hayward CA,Hayward,-122.08,37.68
793,6596-62519,Hesperian & Winton,"23948 Hesperain Blvd., Stratford Corners Hayward CA",Hayward,-122.11,37.65
794,6624-67661,Industrial & Straford,1695 Industrial Parkway West Hayward CA,Hayward,-122.07,37.62
795,79584-106671,Safeway - Healdsburg #998,"1115 Vine, Vineyard Plaza Shopping Center Healdsburg CA",Healdsburg,-122.87,38.61
796,5855-27407,Vine & Healdsburg - Healdsburg,1075 Vine Street Healdsburg CA,Healdsburg,-122.87,38.61
797,8752-93755,"Stetson & State, Hemet","150 W. Stetson Avenue, Hemet Valley Mall Hemet CA",Hemet,-116.97,33.73
798,5983-53919,"Florida & Kirby, Hemet","2350 W. Florida Avenue, 1A Hemet CA",Hemet,-117.0,33.75
799,10010-97229,"Florida & Palm, Hemet",889 W. Florida Ave. Hemet CA,Hemet,-116.98,33.75
800,76364-97139,Target Hemet T-761,3527 W. Florida Ave Hemet CA,Hemet,-117.01,33.75
801,8727-93934,I-80 & Willow - Hercules,"842 Willow Avenue, N/Q Hercules CA",Hercules,-122.26,38.02
802,5882-30801,San Pablo & Sycamore - Hercules,"3700 San Pablo Ave, 8 Hercules CA",Hercules,-122.27,38.01
803,74685-96540,Vons-Hermosa Beach #2110,715 Pier Ave Hermosa Beach CA,Hermosa Beach,-118.39,33.86
804,5201-291,PCH & Aviation,1100 Pacific Coast Highway Hermosa Beach CA,Hermosa Beach,-118.39,33.86
805,5821-5506,"Hermosa & 13th, Hermosa Beach",1303 Hermosa Avenue Hermosa Beach CA,Hermosa Beach,-118.4,33.86
806,10489-101005,Hesperia & Bear Valley,17003 Bear Valley Rd Hesperia CA,Hesperia,-117.29,34.47
807,9454-95104,Main & Mountain Vista,13166 Main Street Hesperia CA,Hesperia,-117.38,34.43
808,76970-136440,Super Target Hesperia ST-2468,12795 Main St Hesperia CA,Hesperia,-117.39,34.43
809,8704-94421,Main & C,"16922 Main Street, Suite J, El Rancho Center Hesperia CA",Hesperia,-117.29,34.42
810,6768-77841,Baseline & Hwy 30,27615 Baseline Street Highland CA,Highland,-117.2,34.12
811,79537-102364,Safeway - Hollister #1757,591 Tres Pinos Road Hollister CA,Hollister,-121.39,36.84
812,5921-238760,Airline & Sunset,"1730 Airline Highway, #300 Hollister CA",Hollister,-121.39,36.84
813,76245-92523,Target Hollister T-941,1790 Airline Hwy Hollister CA,Hollister,-121.39,36.84
814,6467-56379,Hollywood & Highland,"6801 Hollywood Blvd, 257 Hollywood CA",Hollywood,-118.34,34.1
815,5620-1957,Highland & Franklin,"1900 N Highland, #1 Hollywood CA",Hollywood,-118.34,34.11
816,16980-167664,Hollywood & Vine,6290 West Hollywood Blvd Hollywood CA,Hollywood,-118.33,34.1
817,22916-225624,Sunset & Vine,"6290 Sunset Blvd., Hollywood Place Hollywood CA",Hollywood,-118.33,34.1
818,5775-16414,Hollywood & McCadden,6745 Hollywood Blvd. Hollywood CA,Hollywood,-118.34,34.1
